,Well,Plate,CFUs/mL,Species,Inoculated species,Medium,Initial OD,spent,Base carbon source,Short name,Background,Partner
88,A10,2,400000000.0,At,At+Ct,Ml_mannose,0.001,True,Mannose,Ml (Ct),Ml,Ct
89,A11,2,320000000.0,At,At+Oa,Ml_mannose,0.001,True,Mannose,Ml (Oa),Ml,Oa
90,B7,2,480000000.0,At,At,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
91,B10,2,500000000.0,At,At+Ct,Ml_mannose,0.001,True,Mannose,Ml (Ct),Ml,Ct
92,B11,2,280000000.0,At,At+Oa,Ml_mannose,0.001,True,Mannose,Ml (Oa),Ml,Oa
93,C7,2,520000000.0,At,At,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
94,C10,2,360000000.0,At,At+Ct,Ml_mannose,0.001,True,Mannose,Ml (Ct),Ml,Ct
95,C11,2,260000000.0,At,At+Oa,Ml_mannose,0.001,True,Mannose,Ml (Oa),Ml,Oa
96,D1,2,440000000.0,At,At,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
97,D4,2,240000000.0,At,At+Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct (Ml),Ct,Ml
98,D5,2,440000000.0,At,At+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Oa),Ct,Oa
99,D7,2,280000000.0,At,At,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
100,D10,2,160000000.0,At,At+Ct,Oa_mannose,0.001,True,Mannose,Oa (Ct),Oa,Ct
101,D11,2,220000000.0,At,At+Ml,Oa_mannose,0.001,True,Mannose,Oa (Ml),Oa,Ml
102,E1,2,460000000.0,At,At,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
103,E4,2,180000000.0,At,At+Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct (Ml),Ct,Ml
104,E5,2,280000000.0,At,At+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Oa),Ct,Oa
105,E7,2,180000000.0,At,At,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
106,E10,2,220000000.0,At,At+Ct,Oa_mannose,0.001,True,Mannose,Oa (Ct),Oa,Ct
107,E11,2,180000000.0,At,At+Ml,Oa_mannose,0.001,True,Mannose,Oa (Ml),Oa,Ml
108,F1,2,420000000.0,At,At,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
109,F4,2,340000000.0,At,At+Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct (Ml),Ct,Ml
110,F5,2,440000000.0,At,At+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Oa),Ct,Oa
111,F7,2,240000000.0,At,At,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
112,F10,2,200000000.0,At,At+Ct,Oa_mannose,0.001,True,Mannose,Oa (Ct),Oa,Ct
113,F11,2,220000000.0,At,At+Ml,Oa_mannose,0.001,True,Mannose,Oa (Ml),Oa,Ml
114,G1,2,30000000.0,At,At,No CS,0.001,True,No CS,No CS,No CS,No partner
115,G2,2,40000000.0,At,At,No CS,0.001,True,No CS,No CS,No CS,No partner
116,G3,2,44000000.0,At,At,No CS,0.001,True,No CS,No CS,No CS,No partner
117,H1,2,54000000.0,At,At,At_mannose,0.001,True,Mannose,At,At,No partner
118,H2,2,62000000.0,At,At,At_mannose,0.001,True,Mannose,At,At,No partner
119,H3,2,220000000.0,At,At,At_mannose,0.001,True,Mannose,At,At,No partner
120,A1,2,10600000.0,Ct,Ct,At_mannose,0.001,True,Mannose,At,At,No partner
121,A4,2,9000000.0,Ct,Ct+Ml,At_mannose,0.001,True,Mannose,At (Ml),At,Ml
122,A5,2,9000000.0,Ct,Ct+Oa,At_mannose,0.001,True,Mannose,At (Oa),At,Oa
123,A8,2,860000000.0,Ct,Ct,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
124,A10,2,840000000.0,Ct,At+Ct,Ml_mannose,0.001,True,Mannose,Ml (At),Ml,At
125,A12,2,400000000.0,Ct,Ct+Oa,Ml_mannose,0.001,True,Mannose,Ml (Oa),Ml,Oa
126,B1,2,8200000.0,Ct,Ct,At_mannose,0.001,True,Mannose,At,At,No partner
