,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
74,F11,5,,At,Ml,M9_mannose+thiamine+biotin+cysteine+proline
75,F12,5,,At,Oa,M9_mannose+thiamine+biotin+cysteine+proline
76,G1,5,16000000000.0,At,At,M9_mannose
77,G2,5,,At,Ct,M9_mannose
78,G3,5,,At,Ml,M9_mannose
79,G4,5,,At,Oa,M9_mannose
80,G5,5,4400000000.0,At,At,M9_mannose+thiamine
81,G6,5,,At,Ct,M9_mannose+thiamine
82,G7,5,,At,Ml,M9_mannose+thiamine
83,G8,5,,At,Oa,M9_mannose+thiamine
84,G9,5,5200000000.0,At,At,M9_mannose+thiamine+biotin+cysteine+proline
85,G10,5,,At,Ct,M9_mannose+thiamine+biotin+cysteine+proline
86,G11,5,,At,Ml,M9_mannose+thiamine+biotin+cysteine+proline
87,G12,5,,At,Oa,M9_mannose+thiamine+biotin+cysteine+proline
88,H1,5,5000000000.0,At,At,M9_mannose
89,H2,5,,At,Ct,M9_mannose
90,H3,5,,At,Ml,M9_mannose
