,Sample ID,Medium no.,Medium,Species,Timepoint,Hours,OD600
328,11B,11,MM- + AA + Biotin + Thiamine,Ml,10,51.0,1.61
329,11C,11,MM- + AA + Biotin + Thiamine,Ml,10,51.0,1.569
330,1A,1,No AA,Ml,11,66.0,0.014
331,1B,1,No AA,Ml,11,66.0,0.017
332,1C,1,No AA,Ml,11,66.0,0.009
333,2A,2,Cysteine,Ml,11,66.0,1.141
334,2B,2,Cysteine,Ml,11,66.0,1.577
335,2C,2,Cysteine,Ml,11,66.0,1.377
336,3A,3,Proline,Ml,11,66.0,0.009
337,3B,3,Proline,Ml,11,66.0,0.012
338,3C,3,Proline,Ml,11,66.0,0.01
339,4A,4,Cysteine + Proline,Ml,11,66.0,1.422
340,4B,4,Cysteine + Proline,Ml,11,66.0,1.416
341,4C,4,Cysteine + Proline,Ml,11,66.0,1.336
342,5A,5,All AA,Ml,11,66.0,1.73
343,5B,5,All AA,Ml,11,66.0,1.623
344,5C,5,All AA,Ml,11,66.0,1.652
345,6A,6,MM-,Oa,11,66.0,0.229
346,6B,6,MM-,Oa,11,66.0,0.234
347,6C,6,MM-,Oa,11,66.0,0.234
348,7A,7,MM- + Thiamine,Oa,11,66.0,1.973
349,7B,7,MM- + Thiamine,Oa,11,66.0,1.893
350,7C,7,MM- + Thiamine,Oa,11,66.0,2.266
351,8A,8,MM- + AA,Ml,11,66.0,0.573
352,8B,8,MM- + AA,Ml,11,66.0,0.53
353,8C,8,MM- + AA,Ml,11,66.0,0.567
354,9A,9,MM- + AA + Thiamine,Ml,11,66.0,0.81
355,9B,9,MM- + AA + Thiamine,Ml,11,66.0,1.241
356,9C,9,MM- + AA + Thiamine,Ml,11,66.0,0.868
357,10A,10,MM- + AA + Biotin,Ml,11,66.0,0.988
358,10B,10,MM- + AA + Biotin,Ml,11,66.0,1.01
359,10C,10,MM- + AA + Biotin,Ml,11,66.0,1.021
360,11A,11,MM- + AA + Biotin + Thiamine,Ml,11,66.0,1.556
361,11B,11,MM- + AA + Biotin + Thiamine,Ml,11,66.0,1.562
362,11C,11,MM- + AA + Biotin + Thiamine,Ml,11,66.0,1.683
363,1A,1,No AA,Ml,12,72.0,0.014
364,1B,1,No AA,Ml,12,72.0,0.011
365,1C,1,No AA,Ml,12,72.0,0.009
366,2A,2,Cysteine,Ml,12,72.0,1.577
367,2B,2,Cysteine,Ml,12,72.0,1.609
368,2C,2,Cysteine,Ml,12,72.0,1.823
369,3A,3,Proline,Ml,12,72.0,0.013
370,3B,3,Proline,Ml,12,72.0,0.013
371,3C,3,Proline,Ml,12,72.0,0.006
372,4A,4,Cysteine + Proline,Ml,12,72.0,1.441
373,4B,4,Cysteine + Proline,Ml,12,72.0,1.389
374,4C,4,Cysteine + Proline,Ml,12,72.0,1.375
375,5A,5,All AA,Ml,12,72.0,1.582
376,5B,5,All AA,Ml,12,72.0,1.696
377,5C,5,All AA,Ml,12,72.0,1.612
378,6A,6,MM-,Oa,12,72.0,0.26
379,6B,6,MM-,Oa,12,72.0,0.26
380,6C,6,MM-,Oa,12,72.0,0.265
381,7A,7,MM- + Thiamine,Oa,12,72.0,2.005
382,7B,7,MM- + Thiamine,Oa,12,72.0,1.989
383,7C,7,MM- + Thiamine,Oa,12,72.0,1.876
384,8A,8,MM- + AA,Ml,12,72.0,0.553
385,8B,8,MM- + AA,Ml,12,72.0,0.558
386,8C,8,MM- + AA,Ml,12,72.0,0.573
387,9A,9,MM- + AA + Thiamine,Ml,12,72.0,0.901
388,9B,9,MM- + AA + Thiamine,Ml,12,72.0,1.503
389,9C,9,MM- + AA + Thiamine,Ml,12,72.0,0.912
390,10A,10,MM- + AA + Biotin,Ml,12,72.0,1.014
391,10B,10,MM- + AA + Biotin,Ml,12,72.0,1.03
